"difference","topic","lower","upper","keep","state","error"
0.021483028054844,"14",0.0164922991349612,0.0261673080880384,TRUE,"over_moderated",0.00468428003319439
0.00753882613777538,"22",0.00390696511892701,0.0114412574675609,TRUE,"over_moderated",0.00390243132978551
0.00743309981679009,"32",0.00355158954247688,0.0115236531753108,TRUE,"over_moderated",0.0040905533585207
0.0297001545904749,"39",0.0240255421456754,0.0358915024076471,TRUE,"over_moderated",0.00619134781717217
0.00666015441800058,"49",0.00258358812589505,0.0103800738192336,TRUE,"over_moderated",0.00371991940123302
0.0192919938586402,"13",0.0111085524963333,-0.0274591566896776,TRUE,"under_moderated",-0.0467511505483178
0.0132923401487597,"23",0.00465795454407594,-0.0219238691658006,TRUE,"under_moderated",-0.0352162093145603
0.0112061501071828,"25",0.00348333402348005,-0.0197062619409385,TRUE,"under_moderated",-0.0309124120481213
0.00961148631586045,"29",0.00176675726429687,-0.0180198621290772,TRUE,"under_moderated",-0.0276313484449376
0.0102004610912133,"31",0.00287492096236856,-0.0169518295992144,TRUE,"under_moderated",-0.0271522906904277
0.0143636073881904,"41",0.00485510815956188,-0.0258193932917208,TRUE,"under_moderated",-0.0401830006799112
0.0263299785673465,"44",0.0169233161989263,-0.0349571931364688,TRUE,"under_moderated",-0.0612871717038153
