API,Group,F1 Score,ROC AUC,False Positive Rate,False Negative Rate,Pinned ROC AUC
amazon,latinx,0.8984313007385705,0.8984375,0.109375,0.09375,0.9429458104559562
amazon,asian,0.8740925740832745,0.8743334886369519,0.14184397163120568,0.10948905109489052,0.9188894523326572
amazon,jewish,0.8535539212884751,0.8532418187473206,0.1632047477744807,0.13031161473087818,0.9265251208745007
amazon,female,0.8934088422698901,0.8933034247809178,0.13654618473895583,0.07684696569920844,0.9503401712359876
amazon,muslim,0.8168331014841458,0.8166524268521452,0.23832020997375328,0.12837493632195618,0.8944479800633948
amazon,lgbtq,0.7877175201538071,0.7879939209726443,0.2857142857142857,0.13829787234042554,0.8493922978581728
amazon,disability,0.8591209583078809,0.8590847596753108,0.19881889763779528,0.08301158301158301,0.9481573956896322
amazon,black,0.7827743711941559,0.7844969954258723,0.3389578163771712,0.09204819277108434,0.8639572169160996
gpt,disability,0.7528107942689963,0.7528522664654826,0.26396917148362237,0.23032629558541268,0.818092697886571
gpt,muslim,0.6201046009836456,0.6468354369032336,0.61899949469429,0.0873296314992428,0.7450939154194947
gpt,female,0.723428548140281,0.7260676900203671,0.37009406422315927,0.1777705557361066,0.7955771138110588
gpt,jewish,0.7095451580383088,0.7152997167323814,0.4297994269340974,0.1396011396011396,0.7857043594836959
gpt,asian,0.6937782629034773,0.7020820575627678,0.44366197183098594,0.15217391304347827,0.7321291902648095
gpt,black,0.6630310372012571,0.6709976604278075,0.4815340909090909,0.17647058823529413,0.7461468428405169
gpt,latinx,0.7495828698553949,0.7507641011392054,0.29508196721311475,0.2033898305084746,0.8982202447163515
gpt,lgbtq,0.6406679836235611,0.6532865697022324,0.5322822822822822,0.16114457831325302,0.7392821016472015
google,disability,0.42053484573169614,0.5400763358778626,0.9141221374045801,0.0057251908396946565,0.4311013292910448
google,black,0.6070110618277156,0.6477541371158393,0.6742316784869976,0.030260047281323876,0.6609025093330805
google,lgbtq,0.5299277640439553,0.5987284966342559,0.7838444278234854,0.018698578908002993,0.623295986000904
google,latinx,0.7379692617787856,0.7538461538461538,0.49230769230769234,0.0,0.787405303030303
google,muslim,0.3563756707738907,0.5105580693815988,0.9788838612368024,0.0,0.5796823525367103
google,jewish,0.3855189070911372,0.5224089635854342,0.9495798319327731,0.0056022408963585435,0.5445542221663734
google,female,0.583749558788025,0.6353322528363048,0.7166936790923825,0.012641815235008104,0.6104272561303965
google,asian,0.6913522744915386,0.704225352112676,0.5,0.09154929577464789,0.7164925373134329
microsoft,latinx,0.6306818181818181,0.6307692307692307,0.35384615384615387,0.38461538461538464,0.644633972992182
microsoft,disability,0.6016278556400179,0.6040076335877862,0.3187022900763359,0.4732824427480916,0.6988949873801295
microsoft,lgbtq,0.5855596136846667,0.6002243829468961,0.5878833208676141,0.21166791323859388,0.616263269425275
microsoft,black,0.568028177506776,0.580947460474021,0.5922421948912016,0.2458628841607565,0.5756857307072465
microsoft,female,0.7028613959356531,0.7068071312803891,0.40842787682333875,0.1779578606158833,0.7300747353401391
microsoft,jewish,0.6316998827667057,0.6456582633053222,0.5490196078431373,0.15966386554621848,0.622127192122092
microsoft,asian,0.6799879807692308,0.6830985915492958,0.4154929577464789,0.21830985915492956,0.7214360196633398
microsoft,muslim,0.6073671307856399,0.615887380593263,0.5314228255404726,0.2368024132730015,0.6336885439213843
